,0
0,8363.27734375
1,8608.609375
2,8667.791015625
3,8439.431640625
4,8455.5810546875
5,8272.0078125
6,8475.1904296875
7,8092.60400390625
8,8407.830078125
9,8263.59375
10,8373.244140625
11,8114.7666015625
12,8376.7783203125
13,8129.4306640625
14,8087.86767578125
15,7965.29638671875
16,7711.7314453125
17,8022.9609375
18,7632.96923828125
19,7468.6962890625
20,7838.99365234375
21,7576.47265625
22,7050.3212890625
23,6980.99072265625
24,6834.94970703125
25,6445.20556640625
26,5848.22314453125
27,4944.2021484375
28,4428.78857421875
29,3755.759765625
30,3389.63818359375
31,3428.67333984375
32,3908.512451171875
33,3758.589599609375
34,3338.13134765625
35,3011.472412109375
36,2970.145751953125
37,2962.0322265625
38,3005.832763671875
39,3140.3076171875
40,3265.813232421875
41,3247.134765625
42,3218.906982421875
43,3069.3203125
44,3003.40771484375
45,2858.218017578125
46,2926.57568359375
47,2920.101806640625
48,2855.362060546875
49,2940.7919921875
50,2821.7841796875
51,2810.33935546875
52,2721.100830078125
53,2779.220458984375
54,2716.3642578125
55,2873.31201171875
56,2919.9384765625
57,2846.739501953125
58,2774.7998046875
59,2870.769287109375
60,2697.04931640625
61,2774.48291015625
62,2681.790283203125
63,2675.235595703125
64,2744.899169921875
65,2714.3134765625
66,2733.4384765625
67,2612.08935546875
68,2721.205810546875
69,2672.918701171875
70,2686.376953125
71,2770.904296875
72,2650.8916015625
73,2686.128173828125
74,2653.116943359375
75,2660.482177734375
76,2727.579833984375
77,2664.91455078125
78,2732.178955078125
79,2582.43701171875
80,2589.59423828125
81,2661.91455078125
82,2712.683837890625
83,2582.948974609375
84,2656.379150390625
85,2614.9775390625
86,2706.482421875
87,2679.355712890625
88,2601.6044921875
89,2716.801025390625
90,2758.212890625
91,2584.7158203125
92,2676.13720703125
93,2606.806640625
94,2629.039794921875
95,2645.15625
96,2619.584716796875
97,2610.19677734375
98,2695.78125
99,2657.51171875
100,2613.99658203125
101,2552.861328125
102,2650.860107421875
103,2569.1552734375
104,2673.167724609375
105,2623.9072265625
106,2643.29150390625
107,2628.576904296875
108,2562.774169921875
109,2540.585693359375
110,2587.996337890625
111,2552.11474609375
112,2658.61669921875
113,2643.617431640625
114,2644.0771484375
115,2542.672607421875
116,2624.415771484375
117,2626.820556640625
118,2529.206787109375
119,2601.610595703125
120,2556.583984375
121,2610.25244140625
122,2551.205322265625
123,2658.087890625
124,2664.164306640625
125,2593.77685546875
126,2553.04541015625
127,2549.279541015625
128,2578.57275390625
129,2597.445556640625
130,2560.962890625
131,2567.188232421875
132,2475.090087890625
133,2529.859130859375
134,2556.50146484375
135,2525.418212890625
136,2596.18408203125
137,2582.824462890625
138,2468.9990234375
139,2578.648193359375
140,2514.42138671875
141,2519.101806640625
142,2529.473876953125
143,2564.04345703125
144,2548.99853515625
145,2531.974609375
146,2482.8837890625
147,2550.96484375
148,2556.712158203125
149,2533.876708984375
150,2425.22119140625
151,2459.037109375
152,2465.7978515625
153,2484.5087890625
154,2491.20458984375
155,2464.607666015625
156,2474.49853515625
157,2567.26220703125
158,2477.617431640625
159,2396.91943359375
160,2430.73876953125
161,2475.33740234375
162,2413.069580078125
163,2405.01953125
164,2448.491943359375
165,2385.48876953125
166,2359.4560546875
167,2386.396728515625
168,2352.220458984375
169,2370.4296875
170,2323.126708984375
171,2322.032470703125
172,2282.40478515625
173,2221.760498046875
174,2182.1416015625
175,2122.18408203125
176,2140.81787109375
177,2072.63916015625
178,2028.68359375
179,1964.5660400390625
180,1950.174072265625
181,1888.1129150390625
182,1848.6953125
183,1840.4951171875
184,1870.2786865234375
185,1803.093017578125
186,1741.6568603515625
187,1737.6951904296875
188,1732.3902587890625
189,1765.96044921875
190,1723.080078125
191,1771.60205078125
192,1802.4178466796875
193,1797.133056640625
194,1848.90380859375
195,1718.3714599609375
196,1769.8876953125
197,1779.8809814453125
198,1730.977294921875
199,1756.4893798828125
200,1731.8682861328125
201,1673.0625
202,1721.01416015625
203,1655.3248291015625
204,1695.0367431640625
205,1756.9825439453125
206,1682.564697265625
207,1758.7037353515625
208,1696.0965576171875
209,1719.100830078125
210,1683.617919921875
211,1676.19775390625
212,1677.852294921875
213,1685.2860107421875
214,1692.78564453125
215,1642.60498046875
216,1713.7708740234375
217,1672.9083251953125
218,1626.4794921875
219,1649.181884765625
220,1628.073974609375
221,1646.5233154296875
222,1680.3916015625
223,1677.6123046875
224,1668.384765625
225,1718.673095703125
226,1678.251953125
227,1654.86767578125
228,1608.6710205078125
229,1684.107421875
230,1625.11865234375
231,1641.1448974609375
232,1646.7738037109375
233,1673.265380859375
234,1676.4541015625
235,1633.736572265625
236,1642.55126953125
237,1653.2421875
238,1672.595947265625
239,1592.7049560546875
240,1617.37939453125
241,1605.36572265625
242,1576.470458984375
243,1587.896728515625
244,1560.9510498046875
245,1638.319580078125
246,1669.0079345703125
247,1580.3599853515625
248,1601.0758056640625
249,1603.16845703125
250,1616.1087646484375
251,1524.41650390625
252,1550.4454345703125
253,1564.6007080078125
254,1505.658935546875
255,1499.8660888671875
256,1559.6158447265625
257,1499.557373046875
258,1539.0008544921875
259,1417.0167236328125
260,1470.50341796875
261,1444.594970703125
262,1470.346435546875
263,1461.188232421875
264,1490.307861328125
265,1482.787353515625
266,1436.8656005859375
267,1525.9744873046875
268,1469.0906982421875
269,1390.8262939453125
270,1485.308837890625
271,1371.723876953125
272,1396.380615234375
273,1441.6656494140625
274,1417.998291015625
275,1364.718017578125
276,1398.29248046875
277,1309.7587890625
278,1453.6429443359375
279,1385.3448486328125
280,1335.64794921875
281,1385.7581787109375
282,1366.3570556640625
283,1304.197021484375
284,1335.8558349609375
285,1281.7470703125
286,1388.68359375
287,1250.488525390625
288,1267.4049072265625
289,1292.4295654296875
290,1321.0660400390625
291,1199.1669921875
292,1325.227783203125
293,1270.9764404296875
294,1264.589111328125
295,1284.15380859375
296,1285.5692138671875
297,1201.859619140625
298,1275.4210205078125
299,1229.969970703125
300,1232.1776123046875
301,1183.9656982421875
302,1224.562744140625
303,1184.515625
304,1215.869384765625
305,1251.6424560546875
306,1193.8056640625
307,1278.585205078125
308,1260.322998046875
309,1232.48193359375
310,1261.0264892578125
311,1219.5181884765625
312,1232.58740234375
313,1196.367919921875
314,1114.7779541015625
315,1207.0836181640625
316,1179.8583984375
317,1183.7255859375
318,1111.3861083984375
319,1176.2816162109375
320,1213.125244140625
321,1152.449951171875
322,1155.1422119140625
323,1179.5145263671875
324,1210.1107177734375
325,1186.5286865234375
326,1133.805419921875
327,1177.351806640625
328,1160.7713623046875
329,1142.8123779296875
330,1136.2122802734375
331,1134.7330322265625
332,1101.625
333,1121.2308349609375
334,1116.978271484375
335,1140.028564453125
336,1087.4998779296875
337,1089.1241455078125
338,1108.10546875
339,1166.26220703125
340,1134.9512939453125
341,1109.281982421875
342,1158.0321044921875
343,1111.5555419921875
344,1151.373779296875
345,1131.468505859375
346,1044.3011474609375
347,1093.86865234375
348,1085.62548828125
349,1076.5006103515625
350,1109.7633056640625
351,1132.1859130859375
352,1092.8125
353,1083.4217529296875
354,1077.5987548828125
355,1102.260986328125
356,1079.48583984375
357,1083.393798828125
358,1059.0826416015625
359,1105.7835693359375
360,1044.4251708984375
361,1052.15673828125
