,0,1,2,3,4,5,6,7,8,9,10,11,12
0,-6.2831855,-9.854846e-07,-0.24425973,-5.3346157e-06,0.0009852275,5.6549907e-06,0.0004027933,-1.5869737e-05,-9.761751e-05,-0.00037243962,0.00026451796,-0.00010470301,-0.0042062253
1,-6.1562524,0.413063,0.4660216,0.4133657,0.41403696,0.41392243,0.41259664,0.41299286,0.41300198,0.41324824,0.41284144,0.4111655,0.4054318
2,-6.0293193,0.42126626,-0.31947333,0.42122093,0.4235687,0.42135555,0.42035538,0.42135352,0.42136887,0.42170238,0.42096585,0.42290863,0.42531407
3,-5.902386,0.1862145,-0.41109663,0.18611884,0.18362334,0.18630892,0.18465762,0.18605891,0.18620291,0.18612346,0.1867988,0.18685597,0.19335534
4,-5.7754536,0.20595157,-0.43183863,0.20591965,0.20817912,0.20609352,0.20574208,0.20595717,0.20587853,0.20536777,0.20570149,0.20503336,0.19586118
5,-5.6485205,0.61193323,-0.28686383,0.61203456,0.6147265,0.6121105,0.6124175,0.6120866,0.6119165,0.61161864,0.6119096,0.6072865,0.60327774
6,-5.5215874,0.9816221,0.25223786,0.9817805,0.97939855,0.9816198,0.98173434,0.98155063,0.9816523,0.9817089,0.98210895,0.9845137,0.9747216
7,-5.3946543,0.9302497,-0.46419,0.93024766,0.934341,0.9302146,0.9298021,0.93031424,0.93022794,0.93049955,0.93000805,0.92616266,0.9325872
8,-5.267721,0.64969504,-0.15675458,0.64935744,0.6441496,0.64994854,0.648989,0.64964753,0.64980274,0.6496167,0.6495048,0.647126,0.6514633
9,-5.140788,0.636742,-0.5434829,0.63683534,0.63162553,0.6368379,0.6367287,0.6368184,0.63675284,0.63672113,0.63671553,0.63536805,0.63655406
10,-5.013855,0.99287987,0.025325418,0.99288523,0.98992187,0.9929721,0.9926147,0.99289256,0.9928314,0.9927652,0.9929397,0.99154013,0.9902428
11,-4.886922,1.2802502,-0.06645018,1.2802364,1.2797695,1.2801553,1.2799985,1.2800807,1.2802163,1.2797867,1.2803535,1.280273,1.2782617
12,-4.759989,1.1363351,0.6842137,1.136386,1.1346834,1.1364233,1.1356999,1.1362462,1.1363231,1.136351,1.1365464,1.1372943,1.138837
13,-4.633056,0.78304744,-0.3885564,0.78313327,0.7877131,0.78336126,0.7822271,0.78312004,0.7831358,0.78282416,0.7831758,0.78233844,0.78095967
14,-4.506123,0.7143662,-0.31214815,0.71467304,0.7190393,0.7144302,0.71420926,0.714366,0.7144696,0.71443295,0.7146157,0.71409327,0.7202937
15,-4.37919,1.0017754,0.15223922,1.0019844,0.9999836,1.0019927,1.0019101,1.0018092,1.0018895,1.0018276,1.0017264,0.99941725,0.99454254
16,-4.252257,1.1941454,-0.17485194,1.193916,1.1949449,1.1942675,1.1935846,1.194094,1.1942117,1.1948917,1.1942825,1.1930146,1.1980944
17,-4.125324,0.95284957,0.03024587,0.95303345,0.95498747,0.9526575,0.95253617,0.95276684,0.95296866,0.95336473,0.9527488,0.9501007,0.9603012
18,-3.9983907,0.52902454,0.23716287,0.5291207,0.5241326,0.5289638,0.5282396,0.5291105,0.52891374,0.52913845,0.5287653,0.5264726,0.52750146
19,-3.8714578,0.4118514,-0.0424188,0.4120275,0.41529486,0.41196358,0.4122159,0.41180903,0.41183075,0.41145024,0.41205257,0.4099275,0.4106264
