,0,1,2,3,4,5,6,7,8,9,10,11,12
0,-6.2831855,-9.854846e-07,-0.063092336,0.069948405,0.09291972,0.10892533,0.117157355,0.121568665,0.1256002,0.12883727,0.1325245,0.08994287,0.010305852
1,-6.1562524,0.413063,-0.01830101,0.18866476,0.19592653,0.19965388,0.20098789,0.20116596,0.20125474,0.20173897,0.20400377,0.27297816,0.36999995
2,-6.0293193,0.42126626,0.024440408,0.3024315,0.29856616,0.29406106,0.29105318,0.2888363,0.286667,0.28518265,0.2836907,0.30137208,0.48929423
3,-5.902386,0.1862145,0.06481716,0.41047147,0.3998686,0.39091384,0.3858688,0.38283658,0.37993187,0.37753952,0.3729536,0.29322353,0.1547316
4,-5.7754536,0.20595157,0.10253236,0.51201093,0.49858302,0.48843557,0.48324,0.48058683,0.47813195,0.4758829,0.47051913,0.39045575,0.17256916
5,-5.6485205,0.61193323,0.13730821,0.6062511,0.59320825,0.58439755,0.5804046,0.5788694,0.5775983,0.57628787,0.57263786,0.58178484,0.67374915
6,-5.5215874,0.9816221,0.16888705,0.6923466,0.6820472,0.6762557,0.67423636,0.6741005,0.67426574,0.6742783,0.67388564,0.7587769,0.972632
7,-5.3946543,0.9302497,0.19703329,0.76939845,0.76328486,0.7613232,0.76149225,0.7626402,0.7640694,0.7653448,0.76831967,0.85223496,0.8444391
8,-5.267721,0.64969504,0.22153682,0.83645535,0.83507806,0.83695394,0.8390573,0.8410896,0.8433096,0.84542537,0.8506116,0.874681,0.6870076
9,-5.140788,0.636742,0.24221635,0.89252746,0.89564675,0.90071225,0.90416485,0.9065358,0.9089343,0.9112668,0.9168411,0.87455106,0.76728195
10,-5.013855,0.99287987,0.25892335,0.9366118,0.9433618,0.95051825,0.9545621,0.956719,0.9587062,0.9606185,0.96480936,0.8862388,0.9675098
11,-4.886922,1.2802502,0.27154619,0.967726,0.97682124,0.9847486,0.98861057,0.99010855,0.99124795,0.9922557,0.99390453,0.9161439,1.0884833
12,-4.759989,1.1363351,0.28001496,0.98495233,0.9949116,1.0022955,1.0053194,1.0058961,1.0059818,1.0058566,1.0046784,0.9533206,1.0779154
13,-4.633056,0.78304744,0.28430498,0.9874904,0.9968545,1.00258,1.0043198,1.0039235,1.0029975,1.0017962,0.9983265,0.98319435,0.9998688
14,-4.506123,0.7143662,0.28444043,0.9747157,0.9822363,0.9855311,0.9857958,0.9845702,0.982886,0.9809078,0.9762313,0.99475324,0.9262623
15,-4.37919,1.0017754,0.28049687,0.94623995,0.9510247,0.9515374,0.95039135,0.9486254,0.94657344,0.94426763,0.93965346,0.98184717,0.88504773
16,-4.252257,1.1941454,0.27260223,0.90197253,0.90357035,0.9013846,0.8991079,0.89716643,0.8951816,0.893034,0.889595,0.9420395,0.8661718
17,-4.125324,0.95284957,0.26093584,0.84217227,0.84059757,0.8361839,0.83320695,0.8314569,0.8299294,0.8283535,0.8268084,0.875378,0.84468925
18,-3.9983907,0.52902454,0.24572647,0.76748824,0.763182,0.7573035,0.75412685,0.75287235,0.7520762,0.7513341,0.75190145,0.7839104,0.7979297
19,-3.8714578,0.4118514,0.22724748,0.678977,0.67271847,0.6663044,0.6634194,0.6628544,0.6629067,0.6630683,0.66548914,0.6718286,0.7137989
20,-3.7445247,0.64240384,0.20581084,0.5780983,0.57087743,0.564884,0.5627032,0.5628887,0.5637409,0.56468743,0.5683426,0.5456915,0.5936814
