,0,1,2,3,4,5,6,7,8,9,10,11,12
0,-6.2831855,-9.854846e-07,-305.16306,-0.30327973,-0.11695814,-0.09409359,-0.050392985,0.21170764,-0.013550118,-0.13187596,-0.022601008,0.610649,-0.03085284
1,-6.1562524,0.413063,-287.48886,0.27429596,0.39688158,0.3579938,0.42719185,0.572105,0.35414094,0.2981167,0.40964997,1.1610183,0.42257732
2,-6.0293193,0.42126626,-268.89053,0.5074503,0.65081835,0.64090705,0.47128975,0.59670216,0.49168366,0.58193016,0.500867,1.3000716,0.42782634
3,-5.902386,0.1862145,-254.45496,0.44421783,0.41470385,0.26296207,0.18129647,0.33814198,0.18139617,-0.32348058,0.05152619,0.96681964,0.19302411
4,-5.7754536,0.20595157,-232.43202,0.78212374,0.77275133,0.4766614,0.31497872,0.37332875,0.2511441,0.33168605,0.1953708,0.89827716,0.19110914
5,-5.6485205,0.61193323,-219.31143,0.81818026,0.5708165,0.5951307,0.7079383,0.7592998,0.58644074,0.64562035,0.6671878,0.23432148,0.5678105
6,-5.5215874,0.9816221,-204.07353,0.7875864,0.7386632,0.76894355,0.886695,1.0222697,0.99025697,0.6246853,0.76364625,1.1963652,0.94928783
7,-5.3946543,0.9302497,-188.70251,0.8591501,1.1233754,1.0961225,1.0665962,1.1087413,0.9552228,1.5565243,1.1563464,1.0005187,0.9260563
8,-5.267721,0.64969504,-179.77963,0.094463505,0.542603,0.6973798,0.69161904,0.8327556,0.7325894,1.107893,0.93407166,0.89780414,0.64566845
9,-5.140788,0.636742,-164.69441,-0.18228516,0.56710863,0.6665876,0.6707221,0.6748119,0.54852265,0.06705287,0.33775818,1.2263106,0.6949925
10,-5.013855,0.99287987,-156.00456,-1.902294,-0.12455702,0.5742185,0.7295524,0.9140468,1.0090481,1.5420284,1.2973453,1.4589156,1.0137639
11,-4.886922,1.2802502,-144.51773,0.004947819,0.87909746,1.1815946,1.1893607,1.3292842,1.3100888,0.4913769,1.0003177,0.76097095,1.1162114
12,-4.759989,1.1363351,-130.09975,-0.9000204,0.34024858,0.65172553,0.6962501,1.137466,0.89842194,0.38688472,0.8054172,1.6407241,1.1769261
13,-4.633056,0.78304744,-119.033646,0.50980777,0.94743395,0.9569471,0.9503013,0.9577938,0.96927613,0.7410641,0.8043872,1.6770285,0.97257656
14,-4.506123,0.7143662,-108.85079,0.66566867,0.7319188,0.9082258,0.8772956,0.8549419,0.6877057,0.6126766,0.664075,1.2790831,0.73087734
15,-4.37919,1.0017754,-98.094284,1.1604539,0.8696065,1.0563505,1.008567,1.026401,1.0900837,1.1930714,1.10629,1.6688079,0.9718823
16,-4.252257,1.1941454,-88.420006,1.5944902,1.3211217,1.3267019,1.298587,1.1983142,1.1239086,1.3816776,1.269147,2.0412483,1.3609242
17,-4.125324,0.95284957,-82.95144,2.1445696,1.475594,1.503864,1.4037505,1.28614,1.0580059,2.145834,1.4495975,1.5831183,1.0691915
18,-3.9983907,0.52902454,-73.126656,0.7539789,0.053558826,0.11867115,0.44099724,0.45127445,0.37669724,0.5561085,0.54827607,0.14825428,0.3771214
19,-3.8714578,0.4118514,-68.9423,0.99223727,0.1990323,0.01576206,0.031077504,0.1584888,0.31077546,0.24244502,0.2719165,0.26883876,0.29011196
20,-3.7445247,0.64240384,-63.15133,2.9120295,1.4429212,1.05883,0.96462166,0.8990856,0.93283814,1.0398655,0.7102481,1.2161139,0.80378574
21,-3.6175916,0.7578868,-55.1094,1.4213277,0.46726847,0.44176647,0.497697,0.6266685,0.5216176,0.2729664,0.44336426,0.6511611,0.7194981
22,-3.4906588,0.44462663,-51.011467,0.25121894,-0.3296275,-0.33590153,-0.094693065,0.25554425,0.27290505,0.48666766,0.45052636,-0.0010701418,0.28932232
23,-3.3637257,-0.018417493,-45.744133,1.4609166,0.47011614,0.35496494,0.41430008,0.27539402,0.37885827,0.289156,0.18063653,0.28334796,0.14171262
24,-3.2367926,-0.14931718,-40.94127,1.6005327,0.3227811,0.070956916,-0.017474055,-0.053348973,-0.07167657,-0.22057149,-0.25540054,-0.12211621,-0.019628093
25,-3.1098595,0.06188197,-36.972473,1.7512037,0.4544301,0.052190512,0.15544808,0.23814921,-0.03920968,0.25558093,0.20825112,-0.14938557,-0.03303294
26,-2.9829264,0.14196087,-33.61028,1.1401922,0.0020394325,-0.23557499,-0.11236465,0.042459056,0.089902565,-0.14559361,0.0518924,-0.40014756,0.030262426
27,-2.8559935,-0.1972122,-31.459467,0.2966396,-0.48711348,-0.6310103,-0.5740155,-0.49068397,-0.8136371,-0.7124376,-0.45973957,-0.5133611,-0.34124905
28,-2.7290604,-0.6507013,-27.332382,0.18477836,-0.6826968,-0.8858988,-0.76838386,-0.78630394,-0.6682237,-0.5240402,-0.5864905,-0.5131923,-0.59305245
29,-2.6021273,-0.74652135,-22.306314,0.6554243,0.17080355,-0.05815342,-0.27956283,-0.3802809,-0.47453052,-0.55529976,-0.56055915,-0.57055676,-0.77365357
30,-2.4751945,-0.506661,-20.812634,0.61253566,-0.11079359,-0.32384232,-0.4287051,-0.48692745,-0.2749837,-0.30775544,-0.35798824,-0.2326771,-0.5670982
31,-2.3482614,-0.41363758,-20.112175,0.14920679,-0.3268671,-0.5947759,-0.693982,-0.69986147,-0.3833049,-0.29328057,-0.49401176,-0.40454876,-0.5004011
32,-2.2213283,-0.72966796,-17.330444,0.14468732,-0.47848797,-0.7712114,-0.854741,-0.8309683,-0.84242564,-0.6055231,-0.7969483,-0.59286463,-0.85082394
33,-2.0943952,-1.125833,-14.597231,-0.27694163,-0.8711095,-1.0301921,-1.1033577,-1.1530023,-1.1017779,-0.97400093,-1.1203641,-0.46652806,-0.94953376
34,-1.9674622,-1.142732,-12.752647,-0.3379639,-0.9860623,-1.1668031,-1.1785353,-1.0558672,-1.3800474,-0.8586774,-0.9865631,-0.36605346,-0.9086469
35,-1.8405292,-0.8349042,-11.417954,-0.19161376,-0.6452043,-0.7399914,-0.7847382,-0.897844,-0.8592177,-0.9063835,-0.95839036,-0.46975005,-0.7747901
36,-1.7135961,-0.6928749,-9.777795,0.26090708,-0.54567075,-0.78822136,-0.88244593,-0.7721004,-0.5538538,-0.7969997,-0.876665,-0.7432302,-1.0056436
37,-1.586663,-0.9524734,-8.203726,0.15639201,-0.35640836,-0.57461095,-0.73762596,-0.83085364,-0.5895689,-0.83238506,-0.852214,-0.5383011,-0.7857223
38,-1.45973,-1.2626364,-7.2556496,0.027712502,-0.42090416,-0.6596497,-0.83786774,-0.963069,-0.95926386,-0.8111603,-0.9767891,-0.78092444,-1.1347194
39,-1.332797,-1.1788356,-6.20934,0.115491666,-0.30475426,-0.50451505,-0.65655947,-0.8330194,-0.9137899,-0.71308434,-0.91061074,-0.6168876,-0.9358583
40,-1.205864,-0.7882891,-5.4728837,0.41589502,0.08733785,-0.1654124,-0.42489594,-0.5982413,-0.85859036,-0.7583183,-0.888625,-0.6804493,-0.8566833
41,-1.0789309,-0.5878126,-4.6416736,0.5802743,0.14614725,-0.14149472,-0.34988922,-0.43708038,-0.72662586,-0.85458374,-0.87905836,-0.8531603,-0.93416244
42,-0.9519979,-0.78605896,-4.3034754,0.12672213,-0.35399467,-0.63408566,-0.8706254,-0.9059896,-1.1592325,-0.8777578,-0.87275463,-0.78413236,-0.8164055
43,-0.82506484,-1.011298,-4.0583997,0.119791664,-0.2643687,-0.5155629,-0.7160731,-0.78918666,-0.93187165,-1.008545,-0.9022089,-0.7079985,-0.68765914
44,-0.6981318,-0.8356242,-3.7558827,0.014668651,-0.5318039,-0.8232819,-1.0126029,-0.9917447,-1.0436018,-1.0594136,-0.97372746,-0.7556521,-0.71948355
45,-0.57119876,-0.37844884,-3.0998492,-0.023066796,-0.3751919,-0.6116804,-0.78670716,-0.8217599,-0.60605776,-0.8477756,-0.6566286,-0.6038512,-0.5186041
46,-0.44426572,-0.14064226,-2.2972293,0.36145842,0.033907622,-0.24571037,-0.4620973,-0.52557135,-0.55383736,-0.5859076,-0.4331758,-0.61063766,-0.5272611
47,-0.31733268,-0.30251485,-1.560013,0.5670739,0.31487542,0.078602314,-0.13533723,-0.30678946,-0.30755264,-0.35146117,-0.2074067,-0.4784187,-0.3289941
48,-0.19039965,-0.4727515,-1.1221055,0.97040695,0.6890527,0.4624255,0.25513244,0.04783444,-0.07230158,-0.15642259,-0.12102306,-0.46911985,-0.3711785
49,-0.06346661,-0.24129662,-0.44374555,1.1841819,0.9165962,0.71442914,0.52460647,0.3071502,0.2384731,0.07787588,0.10780001,-0.11222851,-0.043904945
50,0.06346661,0.24129662,-0.33551818,1.1093925,0.8429719,0.66078675,0.49,0.29312366,0.28511113,0.13172892,0.17022681,0.11447811,0.19651712
51,0.19039965,0.4727515,-0.5677888,1.0468528,0.7723017,0.60278356,0.45898426,0.3040405,0.27630633,0.08043268,0.11628103,0.21272516,0.3171454
52,0.31733268,0.30251485,-0.7550456,0.9262007,0.68160385,0.5713198,0.47882378,0.38582784,0.41702062,0.15085688,0.22202933,0.2805612,0.4162228
53,0.44426572,0.14064226,-0.9527462,0.55641156,0.40069103,0.39936122,0.38619614,0.3858599,0.5145225,0.23289326,0.38471544,0.24574018,0.37194335
54,0.57119876,0.37844884,-1.2565991,0.14736572,0.1630001,0.2683253,0.331573,0.41592747,0.53596157,0.43756476,0.558776,0.33469737,0.39027947
55,0.6981318,0.8356242,-1.8489411,-0.00908526,0.20758688,0.41444,0.55487573,0.6275299,0.6822038,0.5654067,0.6371045,0.55625963,0.6031885
56,0.82506484,1.011298,-2.2611575,-0.38662264,-0.08115375,0.2581968,0.51000416,0.6378105,0.71584743,0.59407234,0.6675097,0.70860267,0.82115525
57,0.9519979,0.78605896,-2.4327488,-0.616298,-0.3268894,0.028841704,0.30490744,0.51628596,0.5071394,0.57785654,0.62249136,0.67380464,0.8043645
58,1.0789309,0.5878126,-2.4635873,-0.5578652,-0.24114084,0.120042056,0.39932168,0.6399681,0.6024514,0.79717755,0.81007624,0.6237403,0.68761903
59,1.205864,0.7882891,-2.3979306,-0.22387919,0.18221688,0.51089644,0.7524754,0.9603811,0.9039261,0.8944677,0.9319297,0.98113513,0.9634028
60,1.332797,1.1788356,-1.9468546,0.11544577,0.4338627,0.6245451,0.8131107,0.9581302,0.92663854,0.7761147,0.9861156,1.0889527,1.0982862
61,1.45973,1.2626364,-1.7173464,0.3649539,0.46207976,0.62434006,0.8622552,1.0099854,1.2305943,0.87929225,1.0902401,0.92949235,1.1100161
62,1.586663,0.9524734,-1.0907736,0.47876325,0.57026863,0.77745605,0.947261,1.0406585,1.1594507,0.59389734,0.8250352,0.6633862,0.9080922
63,1.7135961,0.6928749,-0.6330362,0.7466971,0.70596313,0.77680373,0.846666,0.83138615,0.75328463,0.84675694,0.8315798,0.6556822,0.79083866
64,1.8405292,0.8349042,-0.45481497,0.8495547,0.83916426,0.91281915,0.9337851,0.9017177,0.7546331,0.99389887,0.9494363,0.79277337,0.8887641
65,1.9674622,1.142732,-1.1775713,0.54995173,0.75941324,0.9021528,1.0525261,1.0741186,1.1090304,1.3028917,1.2246586,0.9609438,1.1553597
66,2.0943952,1.125833,-1.4509544,0.3898832,0.87356853,1.0895526,1.3081828,1.3592014,1.016667,1.3949342,1.368085,0.7319087,1.0115294
67,2.2213283,0.72966796,-1.7215166,-0.38154683,0.054710865,0.25833485,0.49578202,0.61494213,0.7556445,0.8607402,0.7532884,0.755432,0.8557605
68,2.3482614,0.41363758,-1.4119692,-0.78148824,-0.6860652,-0.49283245,-0.25207508,-0.016589597,0.27507943,0.47485355,0.524665,0.2957405,0.34751457
69,2.4751945,0.506661,-0.38060385,-0.43285355,-0.06154871,0.04468128,0.15530026,0.23492865,0.6721379,0.72403145,0.5113889,0.36423624,0.46747965
70,2.6021273,0.74652135,0.3867206,0.41827312,0.7875695,0.8657577,0.9377996,0.93846565,0.5816857,0.758646,0.67185795,0.30159557,0.693067
71,2.7290604,0.6507013,0.65222734,0.07973305,0.34697104,0.5331619,0.68981755,0.77974945,0.9322049,0.40940097,0.49852288,0.5017146,0.6349701
