,0,1,2,3,4,5,6,7,8,9,10,11,12
0,-6.2831855,-9.854846e-07,3.8316994,0.2783162,0.13396916,0.0039785663,0.20115685,0.10946118,-0.03973001,-0.0011924915,-0.117108166,-0.023996212,0.00010323711
1,-6.1562524,0.413063,4.080788,0.08132164,0.45808116,0.41664588,0.28736734,0.544261,0.44070596,0.4122487,0.727815,0.35393158,0.41275918
2,-6.0293193,0.42126626,3.6848817,0.813368,0.47074604,0.42787853,0.43525517,0.32947147,0.35167187,0.41986963,0.17745489,0.36645165,0.4212184
3,-5.902386,0.1862145,4.8139014,0.19196837,0.08747948,0.17552902,0.14381492,0.18960226,0.16837186,0.18546338,0.34882694,0.18349305,0.18626952
4,-5.7754536,0.20595157,4.569928,0.46787208,0.25674126,0.21868296,0.3017342,0.07679545,0.4144537,0.20472868,0.55345136,0.25848857,0.20586717
5,-5.6485205,0.61193323,4.7182016,0.44515866,0.57146573,0.6233455,0.6489452,0.6372241,0.67766714,0.609672,0.42060143,0.6967132,0.6114818
6,-5.5215874,0.9816221,4.6651893,1.0631989,0.9796226,0.9502108,1.0976394,0.9407424,0.99459165,0.9812804,1.1052523,0.96422017,0.98140943
7,-5.3946543,0.9302497,4.5590167,0.80854505,1.0260453,0.94239527,0.9811605,0.88775253,0.8597955,0.9293634,0.6133532,0.91416824,0.93023825
8,-5.267721,0.64969504,4.9332933,1.002247,0.65261817,0.61963093,0.7360507,0.6701846,0.6281843,0.649574,0.8719706,0.70995283,0.64961123
9,-5.140788,0.636742,2.9808896,0.7613949,0.64870024,0.63095796,0.64427364,0.5761714,0.63590604,0.6361179,0.65344983,0.7473662,0.63668084
10,-5.013855,0.99287987,4.123067,0.99767894,1.0712703,0.9832313,0.91067195,0.9709723,0.876705,0.9933799,0.9924329,0.83658874,0.9926398
11,-4.886922,1.2802502,3.916979,1.0613638,1.1256644,1.2617741,1.3356313,1.3353347,1.3485993,1.2806847,1.6253059,1.3673527,1.2801993
12,-4.759989,1.1363351,3.9420912,1.1664947,1.1655304,1.1624608,1.110314,1.1817573,1.0951409,1.1355144,1.2092729,1.0079191,1.1364295
13,-4.633056,0.78304744,4.037001,0.39391536,0.91842407,0.7802966,0.5523511,0.84138775,0.70861286,0.7817263,1.1972799,0.8643459,0.7826077
14,-4.506123,0.7143662,3.9144561,0.56698316,0.73344433,0.7185844,0.5554172,0.76862913,0.7958742,0.7140556,0.71434957,0.7037796,0.71441853
15,-4.37919,1.0017754,4.4731965,0.7044048,0.8763834,1.0037991,1.1508883,0.94436884,1.026193,1.0030292,1.0152066,1.067906,1.0017358
16,-4.252257,1.1941454,3.6566257,1.1639429,1.0636945,1.2134854,1.1825668,1.2395506,1.1357766,1.1949326,1.1378939,1.0399113,1.1940925
17,-4.125324,0.95284957,4.699868,1.1892737,0.84932506,0.9338417,0.8467783,1.0472969,0.9463623,0.95329946,1.2659259,0.88906574,0.95277774
18,-3.9983907,0.52902454,4.049821,0.51143473,0.5350466,0.5190171,0.4818182,0.5518073,0.7432229,0.5292513,0.9606537,0.6136723,0.52929556
19,-3.8714578,0.4118514,4.304216,0.44562978,0.30391988,0.42281935,0.5712081,0.31756973,0.46191424,0.41126105,0.6806057,0.5153214,0.4119854
20,-3.7445247,0.64240384,4.911584,0.5286097,0.7370587,0.6264329,0.6583626,0.57672477,0.783199,0.6408463,0.6839039,0.5510477,0.6426187
21,-3.6175916,0.7578868,4.5356236,0.68480223,0.7625872,0.7642924,0.7526871,0.66291827,0.72864735,0.75706905,0.38168985,0.6429368,0.7582903
22,-3.4906588,0.44462663,3.7523491,0.49070853,0.3850717,0.44154504,0.4951477,0.45375478,0.62673146,0.4452274,0.41121697,0.46016982,0.44480252
23,-3.3637257,-0.018417493,3.6784418,-0.21291716,-0.0022690538,-0.013841703,0.10931504,-0.034350045,-0.003206011,-0.018665712,0.1029982,-0.13479802,-0.018808363
24,-3.2367926,-0.14931718,4.2852964,-0.109839514,-0.35703608,-0.17165427,-0.07966566,-0.23744309,-0.21483105,-0.14885275,-0.1229853,-0.10055558,-0.14926434
25,-3.1098595,0.06188197,4.157583,0.21059792,0.00849936,0.066781715,-0.032377962,0.019158714,-0.07028836,0.062180478,0.5550845,0.029040359,0.061504483
26,-2.9829264,0.14196087,4.3968053,0.28928417,0.0026731845,0.15558465,0.2668978,0.25689906,0.06868774,0.14218082,0.064767,0.13248947,0.14226162
27,-2.8559935,-0.1972122,4.8478885,-0.22088392,-0.0854361,-0.19567834,-0.2645253,-0.2905841,-0.20116001,-0.19879131,-0.14848262,-0.25397083,-0.19735801
28,-2.7290604,-0.6507013,3.0518284,-1.0734805,-0.56606174,-0.66935945,-0.6138321,-0.7502575,-0.92574865,-0.6513639,-0.121157825,-0.71152186,-0.6504687
29,-2.6021273,-0.74652135,3.6144974,-0.53625876,-0.924122,-0.75484747,-0.5829909,-0.719982,-0.9247964,-0.74681574,-0.7209843,-0.79015887,-0.74644434
30,-2.4751945,-0.506661,3.7677433,-0.6930216,-0.65135646,-0.4857218,-0.7325157,-0.5032618,-0.5386441,-0.5060877,-0.53620625,-0.5576837,-0.5068356
31,-2.3482614,-0.41363758,3.913464,-0.35322624,-0.51038194,-0.4227595,-0.24976611,-0.25281727,-0.25428402,-0.41318196,-0.29111072,-0.39090356,-0.41388762
32,-2.2213283,-0.72966796,3.5091727,-0.47981387,-0.58352995,-0.73381144,-0.7128507,-0.693651,-0.72818047,-0.72903997,-0.68944114,-0.70653564,-0.7297641
33,-2.0943952,-1.125833,3.9763656,-1.1399974,-1.0444283,-1.1182234,-1.0335116,-1.0703274,-1.203186,-1.1266478,-1.1789305,-1.1030316,-1.1256921
34,-1.9674622,-1.142732,3.6300294,-1.0642465,-1.1622036,-1.1414082,-1.1330726,-1.1432773,-1.2133112,-1.1415657,-0.63866466,-1.1447958,-1.1429257
35,-1.8405292,-0.8349042,4.271415,-0.80347425,-0.83936405,-0.8564075,-1.0856535,-0.7217715,-0.87045735,-0.8352062,-0.61935776,-0.6983118,-0.8348067
36,-1.7135961,-0.6928749,4.336772,-0.3672946,-0.6674692,-0.6912317,-0.46151614,-0.7248702,-0.83376247,-0.6936566,-1.0259945,-0.5840081,-0.69275296
37,-1.586663,-0.9524734,4.1425667,-0.9584928,-0.77807325,-0.9549428,-0.9104448,-1.0182426,-0.9806823,-0.9527525,-1.0115635,-0.8481156,-0.95221865
38,-1.45973,-1.2626364,5.0438814,-1.1433228,-1.250681,-1.2594253,-1.117723,-1.2353545,-1.2914633,-1.2631395,-0.7452882,-1.230273,-1.2629027
39,-1.332797,-1.1788356,4.278522,-1.0118035,-1.0403297,-1.1843464,-1.2057222,-1.0908629,-1.2189572,-1.1787467,-0.8047742,-1.1169218,-1.1790137
40,-1.205864,-0.7882891,3.639293,-0.8165322,-0.6894828,-0.76916575,-0.9520334,-0.71264803,-0.72595984,-0.7876901,-0.60981756,-0.74994004,-0.78867626
41,-1.0789309,-0.5878126,4.6372194,-0.4828499,-0.43715087,-0.59551346,-0.91273844,-0.67931855,-0.5496154,-0.5871659,-0.3982166,-0.6221566,-0.5878086
42,-0.9519979,-0.78605896,4.3080645,-0.62575895,-0.8510682,-0.7724263,-0.58691645,-0.8173213,-0.7509626,-0.7857737,-0.49341744,-0.8127351,-0.7859218
43,-0.82506484,-1.011298,3.953464,-0.8119014,-1.0384167,-1.0173994,-1.0956005,-1.0684421,-0.975851,-1.0125111,-0.7745412,-0.99785435,-1.0115359
44,-0.6981318,-0.8356242,4.190545,-0.83942086,-0.82889295,-0.8439835,-0.7479104,-0.8352871,-0.8754,-0.8352055,-0.7494089,-0.78691393,-0.8354448
45,-0.57119876,-0.37844884,4.185333,-0.5658186,-0.25815418,-0.3626205,-0.2431131,-0.38973972,-0.33773208,-0.37842056,-0.04136464,-0.3464655,-0.37832725
46,-0.44426572,-0.14064226,3.8048384,-0.07536991,-0.02073946,-0.13498047,-0.094659925,-0.19361374,-0.2790476,-0.14103489,0.30057475,-0.19886607,-0.14094746
47,-0.31733268,-0.30251485,3.2397306,-0.10705145,-0.10625591,-0.30560723,-0.2693346,-0.33662862,-0.092414945,-0.3026033,-0.22590727,-0.24808487,-0.30255347
48,-0.19039965,-0.4727515,4.0198016,-0.5153006,-0.391915,-0.44771978,-0.4225303,-0.5429129,-0.35505268,-0.47196433,-0.46184748,-0.49565676,-0.4731505
49,-0.06346661,-0.24129662,3.6861243,-0.025157763,-0.037044905,-0.25992915,-0.4238913,-0.3358075,-0.31841955,-0.24095167,0.15729064,-0.23245138,-0.24106568
50,0.06346661,0.24129662,3.4275067,0.25891346,0.30256447,0.21512736,0.30881393,0.19193017,0.5301522,0.24043576,-0.06406768,0.26818803,0.24130267
51,0.19039965,0.4727515,3.447574,0.15745108,0.6273129,0.45831993,0.302611,0.5969646,0.31544027,0.47262463,0.41152745,0.5214099,0.4726807
52,0.31733268,0.30251485,3.4305656,0.3089921,0.3935555,0.29168278,0.46125817,0.31097385,0.37534648,0.30351838,0.5618788,0.21788785,0.3028683
53,0.44426572,0.14064226,4.0475807,-0.13518699,0.10108993,0.13173638,0.08886278,0.2038827,0.24342766,0.14115433,0.3450617,0.20770276,0.14078295
54,0.57119876,0.37844884,3.6794324,0.3204016,0.52311003,0.39547965,0.5900729,0.5173643,0.50396734,0.3780944,0.29090816,0.39702067,0.37822706
55,0.6981318,0.8356242,4.0473576,0.7840372,0.86657214,0.84331906,0.86841476,0.7640974,0.88026714,0.8350273,0.8816557,0.7479318,0.8355647
56,0.82506484,1.011298,3.5829327,0.74563354,1.0219284,1.0227642,0.8617171,0.9717304,1.0540651,1.0107118,0.7869991,1.0277901,1.0111499
57,0.9519979,0.78605896,3.3523204,1.0119783,0.8999666,0.78437656,0.66389453,0.7390321,0.75035983,0.78602374,0.65175885,0.7680365,0.7862639
58,1.0789309,0.5878126,4.081712,0.33012432,0.50505793,0.59235114,0.72445905,0.50107235,0.5934297,0.5873622,0.6764588,0.52659595,0.5877419
59,1.205864,0.7882891,3.409705,0.85260814,0.7211404,0.7847841,0.7598684,0.6747992,0.7787691,0.7879092,0.7340742,0.74540746,0.7881976
60,1.332797,1.1788356,3.9098165,0.97319824,1.1145316,1.1845919,1.182533,1.0764906,1.1491237,1.177926,1.1940958,1.1683561,1.178999
61,1.45973,1.2626364,4.0528326,1.0294704,1.3814712,1.260602,0.90863967,1.1961979,1.0481683,1.2621903,0.6351009,1.2458644,1.2623615
62,1.586663,0.9524734,4.5249786,0.8861818,0.90692914,0.9589449,0.7880099,0.90356076,0.7854843,0.9511383,0.81736624,0.9556627,0.95259
63,1.7135961,0.6928749,3.869671,0.52923816,0.72158563,0.68643427,0.46504492,0.8109529,0.8442544,0.69202065,0.8777988,0.63580394,0.69308114
64,1.8405292,0.8349042,4.4016047,0.614127,0.8202028,0.83679664,0.90872854,0.9081447,1.081211,0.8359895,0.6824186,0.73477685,0.8348052
65,1.9674622,1.142732,3.9372244,0.9150867,1.1503842,1.1452974,1.275587,1.1528232,1.1117998,1.1414665,0.6068426,1.1115835,1.1424725
66,2.0943952,1.125833,3.8934639,1.1418474,1.1501256,1.1420674,1.2035115,1.1174668,1.1317624,1.1254967,1.4598973,1.2258874,1.1259035
67,2.2213283,0.72966796,3.9104846,0.47939056,0.81410015,0.7072897,0.6109682,1.0027118,0.7917978,0.72933686,1.0232711,0.8038818,0.72933066
68,2.3482614,0.41363758,4.0203624,0.116875574,0.42409167,0.3964937,0.47130826,0.4021232,0.3028096,0.41332942,0.5852714,0.38045534,0.41357124
69,2.4751945,0.506661,3.5141642,0.36073703,0.47328207,0.49859717,0.08492091,0.43869936,0.57712084,0.50638056,0.7060557,0.48892125,0.5068974
70,2.6021273,0.74652135,3.9668405,0.9972479,0.8507842,0.7403254,0.6449885,0.6796983,0.85417455,0.74529475,0.45654556,0.77826357,0.7463083
71,2.7290604,0.6507013,4.0471897,0.77596253,0.64432013,0.65139854,0.9620366,0.67324615,0.5576161,0.6501778,0.7997434,0.70016813,0.6509061
72,2.8559935,0.1972122,4.0346007,0.2541123,0.24041292,0.18667938,0.06943691,0.12089396,0.14818197,0.19772114,0.27853072,0.28614625,0.19702649
73,2.9829264,-0.14196087,3.7088773,-0.13422616,-0.089166366,-0.13754623,-0.17949384,-0.14744824,-0.089613795,-0.14242585,0.16266218,-0.16253704,-0.14173836
74,3.1098595,-0.06188197,3.487723,-0.113733366,-0.0085326675,-0.080310926,0.09575257,0.037822776,-0.15436858,-0.062394243,-0.067561686,-0.26334563,-0.061850622
75,3.2367926,0.14931718,4.740894,0.08363943,0.12887129,0.16640808,-0.15397835,0.119089805,0.24801928,0.14883317,0.26388758,0.18152484,0.14919958
76,3.3637257,0.018417493,4.0682225,-0.10650523,0.060197927,0.03578104,0.110376954,0.06502318,0.0817768,0.017698485,-0.18136889,-0.124581255,0.018714817
77,3.4906588,-0.44462663,4.1037397,-0.23036654,-0.16435412,-0.44015092,-0.21688461,-0.5038235,-0.22434276,-0.4440629,-0.32458383,-0.44276056,-0.44475758
78,3.6175916,-0.7578868,4.218466,-0.9325488,-0.7938986,-0.7646135,-0.736362,-0.8331946,-0.7593642,-0.7571357,-0.6363689,-0.8203067,-0.7582593
79,3.7445247,-0.64240384,3.770778,-0.6748584,-0.6454445,-0.61590785,-0.48796326,-0.4666336,-0.6088586,-0.6426129,-1.0750277,-0.63922524,-0.64270175
80,3.8714578,-0.4118514,3.3966758,-0.37687618,-0.3009012,-0.4247307,-0.1251758,-0.31012136,-0.22100493,-0.41220602,-0.2500983,-0.4532076,-0.41192335
81,3.9983907,-0.52902454,4.3373494,-0.038525537,-0.33060923,-0.5176751,-0.49545896,-0.5812934,-0.4948184,-0.5287332,-0.8386955,-0.5404632,-0.52903867
82,4.125324,-0.95284957,4.571053,-0.88208824,-0.90758514,-0.96872616,-0.9849107,-0.91613334,-0.8715187,-0.95251155,-0.90227085,-0.90791094,-0.953166
83,4.252257,-1.1941454,4.406789,-1.2638506,-1.0833906,-1.1742606,-0.9485086,-1.151631,-1.3050312,-1.1939131,-1.1241343,-1.3025392,-1.1944029
84,4.37919,-1.0017754,3.713378,-1.0479087,-0.9866222,-0.98663586,-1.1330274,-1.0594018,-1.0775087,-1.0023781,-0.86391026,-1.0514379,-1.0018376
85,4.506123,-0.7143662,4.655879,-0.75605136,-0.8147743,-0.7056298,-0.75057137,-0.709865,-0.8834016,-0.7150089,-0.73062605,-0.8696386,-0.7142246
