,0,1,2,3,4,5,6,7
0,0.0,0.0,-0.0004664836,0.01464537,0.041343346,0.038806155,0.020940326,0.016960846
1,0.06346652,-0.11261371,-0.0006996585,-0.01796307,-0.023576267,-0.03368535,-0.045102604,-0.046702575
2,0.12693304,-0.20188065,-0.00089989894,-0.036626264,-0.06708317,-0.08219917,-0.087455004,-0.08701379
3,0.19039956,-0.2534483,-0.001026287,-0.03863429,-0.0765955,-0.09166495,-0.091781616,-0.089653075
4,0.25386608,-0.26744992,-0.0010148073,-0.025968757,-0.053615488,-0.06177876,-0.05801487,-0.054914467
5,0.3173326,-0.2583556,-0.0014039535,-0.00097313453,-0.00867472,-0.0069340444,-0.00053486985,0.0025976724
6,0.3807991,-0.24924052,-0.0017953744,0.02400683,0.039230164,0.049452398,0.05698078,0.05981136
7,0.44426563,-0.2627036,-0.0023141466,0.03818459,0.068747826,0.08446794,0.09147112,0.093959
8,0.50773215,-0.3119739,-0.0029743856,0.038995825,0.06955645,0.084868774,0.089507684,0.09181894
9,0.5711987,-0.3956677,-0.0036401758,0.02602559,0.043152876,0.051213555,0.052030962,0.053644016
10,0.6346652,-0.4982403,-0.0042294855,0.0018651119,-0.00056929176,-0.0026451438,-0.005746879,-0.004308927
11,0.6981317,-0.59595525,-0.0049973796,-0.020618163,-0.041093823,-0.054443516,-0.060488008,-0.060637284
12,0.7615982,-0.66604805,-0.0056346823,-0.0296064,-0.06466629,-0.083397135,-0.08991688,-0.090710506
13,0.8250648,-0.6955141,-0.0063903388,-0.029229932,-0.061479054,-0.07825347,-0.082314596,-0.08335598
14,0.88853127,-0.6861,-0.0070519336,-0.019522116,-0.033408657,-0.03906538,-0.03975089,-0.039913997
15,0.95199776,-0.6535553,-0.007639628,0.0014842297,0.010521952,0.018115135,0.023149624,0.023412345
16,1.0154643,-0.6214324,-0.008248916,0.020535689,0.05219219,0.07241163,0.08158932,0.08213273
17,1.0789309,-0.611856,-0.0089931525,0.029679002,0.07495101,0.1028427,0.11367716,0.11510974
18,1.1423974,-0.63685066,-0.009723431,0.02788689,0.071381986,0.09853706,0.108040586,0.10882683
19,1.2058638,-0.693609,-0.010787332,0.014817203,0.043222748,0.06222221,0.06659327,0.06576073
20,1.2693304,-0.7655413,-0.011728713,-0.00642055,0.002103767,0.006821396,0.005725364,0.0042737527
