,0
0,8280.78515625
1,7887.966796875
2,3881.32958984375
3,3188.927734375
4,3010.40185546875
5,2875.462890625
6,2718.173828125
7,2620.082275390625
8,2730.8203125
9,2674.97021484375
10,2637.21630859375
11,2685.516357421875
12,2589.578125
13,2595.884521484375
14,2552.156982421875
15,2565.49365234375
16,2532.90478515625
17,2455.6064453125
18,2298.0888671875
19,1977.555419921875
20,1785.8466796875
21,1648.300048828125
22,1714.3592529296875
23,1731.1488037109375
24,1683.6607666015625
25,1651.876708984375
26,1662.773193359375
27,1590.0177001953125
28,1486.0350341796875
29,1433.9775390625
30,1389.278564453125
31,1257.7821044921875
32,1195.5062255859375
33,1147.1466064453125
34,1117.079345703125
35,1096.6484375
36,1092.087158203125
37,1082.046630859375
38,1056.694091796875
39,1066.8809814453125
40,1022.4151611328125
41,999.6906127929688
42,999.4810791015625
43,1005.6099853515625
44,949.32177734375
45,1034.0125732421875
46,956.7728881835938
47,971.4393310546875
48,943.377197265625
49,963.1687622070312
50,996.99365234375
51,1019.0703735351562
52,942.2182006835938
53,972.90283203125
54,944.3387451171875
55,928.221435546875
56,944.680908203125
57,985.9973754882812
58,978.1748657226562
59,1013.9697265625
60,1027.3475341796875
61,908.2244262695312
62,975.096435546875
63,930.482421875
64,899.667724609375
65,933.5853271484375
66,959.6762084960938
67,988.1395263671875
68,1006.7420654296875
69,932.4700317382812
70,891.25439453125
71,953.0648193359375
72,977.8812866210938
73,929.5266723632812
74,964.569091796875
75,944.42041015625
76,974.7546997070312
77,930.7249145507812
78,946.7774658203125
79,960.63720703125
80,925.2225341796875
81,941.9783325195312
82,924.8189697265625
83,928.5096435546875
84,950.4605102539062
85,899.2703247070312
86,948.3623657226562
87,924.1404418945312
88,934.3331909179688
89,901.0318603515625
90,936.9609985351562
91,940.9365844726562
92,897.8726806640625
93,847.8942260742188
94,951.6640625
95,930.7069091796875
96,886.6239013671875
97,959.1818237304688
98,898.2406005859375
99,925.1288452148438
100,865.8060302734375
101,871.3077392578125
102,873.2120971679688
103,874.7333984375
104,862.3875732421875
105,845.4407958984375
106,831.0208740234375
107,831.0045776367188
108,780.0436401367188
109,762.558349609375
110,722.1214599609375
111,697.294189453125
112,619.4609985351562
113,609.321533203125
114,518.9570922851562
115,433.5119934082031
116,366.0882873535156
117,222.5306854248047
118,135.9303741455078
119,106.17169952392578
120,88.93856048583984
121,74.85635375976562
122,71.29633331298828
123,56.11859130859375
124,49.627418518066406
125,44.675262451171875
126,42.690643310546875
127,37.74813461303711
128,35.63296890258789
129,33.0410041809082
130,32.82016372680664
131,29.356685638427734
132,32.510498046875
133,28.254573822021484
134,29.021419525146484
135,27.273313522338867
136,27.921173095703125
137,25.301048278808594
138,23.556337356567383
139,29.276723861694336
140,22.311203002929688
141,22.37709617614746
142,28.152881622314453
143,23.245437622070312
144,21.95772933959961
145,27.044822692871094
146,19.42844009399414
147,18.358673095703125
148,17.863943099975586
149,18.50689125061035
150,17.843820571899414
151,17.33519744873047
152,19.692138671875
153,22.518798828125
154,16.578277587890625
155,15.885636329650879
156,16.14568328857422
157,16.325042724609375
158,17.122358322143555
159,27.957210540771484
160,14.167716026306152
161,26.891874313354492
162,15.982983589172363
163,16.825286865234375
164,14.587568283081055
165,12.834452629089355
166,12.720947265625
167,16.612638473510742
168,12.419493675231934
169,21.723407745361328
170,13.039203643798828
171,12.337791442871094
172,13.262316703796387
173,12.817754745483398
174,11.589699745178223
175,11.970553398132324
176,11.072022438049316
177,11.719311714172363
178,10.704838752746582
179,10.460869789123535
180,10.521839141845703
181,10.458154678344727
182,10.226219177246094
183,13.994306564331055
184,32.8787727355957
185,10.466534614562988
186,13.612586975097656
187,11.130032539367676
