,relu,siren,snake,finer,fkan
0,0.5758004784584045,0.46342143416404724,0.6088665127754211,0.6136221885681152,0.5288441181182861
1,0.5585378408432007,0.43567726016044617,0.5429015159606934,0.5763311386108398,0.5492076277732849
2,0.54234778881073,0.4081670641899109,0.49589523673057556,0.5425304174423218,0.543208122253418
3,0.5257404446601868,0.3806990385055542,0.45923277735710144,0.5115776658058167,0.5331841111183167
4,0.5108262300491333,0.3531498312950134,0.42869529128074646,0.48283758759498596,0.532128632068634
5,0.49668192863464355,0.3255012333393097,0.4018365740776062,0.4557214677333832,0.5333198308944702
6,0.48296141624450684,0.2978132665157318,0.37680888175964355,0.4297056198120117,0.5268208980560303
7,0.46972206234931946,0.270233154296875,0.35224831104278564,0.40435367822647095,0.5315455794334412
8,0.4582757353782654,0.24301354587078094,0.3275631368160248,0.37932509183883667,0.528928816318512
9,0.4486836791038513,0.21651169657707214,0.3030366897583008,0.3543655276298523,0.5226680636405945
10,0.43985357880592346,0.19117744266986847,0.2794196605682373,0.3293100595474243,0.5211594104766846
11,0.4315080940723419,0.1675466001033783,0.2572631537914276,0.30407604575157166,0.5145341157913208
12,0.42353132367134094,0.14623521268367767,0.2364417016506195,0.27865174412727356,0.503881573677063
13,0.41628485918045044,0.12791408598423004,0.21618887782096863,0.253124475479126,0.49962225556373596
14,0.409851610660553,0.11324653029441833,0.19568409025669098,0.2276863008737564,0.4641419053077698
15,0.4042814075946808,0.1027708500623703,0.17482276260852814,0.20262286067008972,0.43144744634628296
16,0.399589478969574,0.09671223163604736,0.15453189611434937,0.17829765379428864,0.3851940929889679
17,0.3953453600406647,0.09474525600671768,0.1361565887928009,0.15512189269065857,0.30060482025146484
18,0.39124178886413574,0.09582483023405075,0.1201152577996254,0.13353799283504486,0.20466667413711548
19,0.3872513473033905,0.098284512758255,0.10528048872947693,0.11397591978311539,0.10924795269966125
20,0.38315093517303467,0.10028304159641266,0.09063687920570374,0.09679950773715973,0.062157753854990005
21,0.37901076674461365,0.10037938505411148,0.0770687535405159,0.08225271850824356,0.15696176886558533
22,0.3745335340499878,0.09789491444826126,0.06615178287029266,0.07040046900510788,0.1375620812177658
23,0.36987388134002686,0.09292774647474289,0.05796997249126434,0.06114129349589348,0.16326743364334106
24,0.3650279939174652,0.08612728118896484,0.05187510326504707,0.05419773608446121,0.09517183154821396
25,0.3600452244281769,0.07839885354042053,0.0477895550429821,0.04919420927762985,0.12149763107299805
26,0.35518279671669006,0.07064850628376007,0.04479121044278145,0.04573152959346771,0.05470726266503334
27,0.3508036732673645,0.06360944360494614,0.04225175827741623,0.043439291417598724,0.1101713478565216
28,0.3468157947063446,0.05775303766131401,0.04165315628051758,0.04197295010089874,0.06868069618940353
29,0.34257808327674866,0.05327025428414345,0.04262635111808777,0.04100413620471954,0.07016139477491379
30,0.33823633193969727,0.050105981528759,0.04314528405666351,0.040220364928245544,0.0836537554860115
31,0.3337571322917938,0.04802495241165161,0.043443672358989716,0.03935689851641655,0.06104018911719322
32,0.32904767990112305,0.046690672636032104,0.043529920279979706,0.03824016451835632,0.06198469176888466
33,0.3241364657878876,0.045741356909275055,0.043376073241233826,0.03680610656738281,0.05905039981007576
34,0.3190663158893585,0.044852446764707565,0.04317103326320648,0.035085104405879974,0.035684745758771896
35,0.3139738440513611,0.04377913847565651,0.041895270347595215,0.033174045383930206,0.03846682608127594
36,0.30877161026000977,0.04237812012434006,0.03998889401555061,0.031199898570775986,0.0475667268037796
37,0.3033770024776459,0.04061014577746391,0.03853838890790939,0.02928577922284603,0.04022444784641266
38,0.2977954149246216,0.038529060781002045,0.037414874881505966,0.02752591110765934,0.041491325944662094
39,0.29195547103881836,0.036260731518268585,0.03648299351334572,0.025977300480008125,0.04928473010659218
40,0.28588882088661194,0.03397604450583458,0.035602424293756485,0.02466258406639099,0.04311531037092209
41,0.2796161472797394,0.03185928612947464,0.03475181385874748,0.023575210943818092,0.03452567756175995
42,0.27319782972335815,0.030075496062636375,0.03433498367667198,0.022686684504151344,0.038806166499853134
43,0.26666978001594543,0.028739942237734795,0.034205518662929535,0.02195388823747635,0.039843156933784485
44,0.2599814534187317,0.02789594605565071,0.033892229199409485,0.021327119320631027,0.03492065519094467
45,0.25332072377204895,0.027507146820425987,0.033486150205135345,0.02075837552547455,0.03656857833266258
46,0.2468184381723404,0.027468489482998848,0.03312557563185692,0.02020992897450924,0.03677332401275635
47,0.24030664563179016,0.027634719386696815,0.03265271708369255,0.01965847983956337,0.030608123168349266
48,0.2337626963853836,0.027858812361955643,0.032040324062108994,0.019095610827207565,0.029055189341306686
49,0.22715409100055695,0.028028158470988274,0.03135234862565994,0.018526393920183182,0.031124567613005638
50,0.22047556936740875,0.028087057173252106,0.03063785471022129,0.01796617917716503,0.029884641990065575
51,0.21366290748119354,0.028039244934916496,0.030018500983715057,0.01743488758802414,0.030006708577275276
52,0.20661337673664093,0.027931876480579376,0.029468078166246414,0.016951074823737144,0.032557275146245956
53,0.19979533553123474,0.027828650549054146,0.028905844315886497,0.016528021544218063,0.03148370236158371
54,0.1934937685728073,0.027782553806900978,0.02844812348484993,0.016171801835298538,0.028692441061139107
55,0.1875641942024231,0.02781715802848339,0.028103360906243324,0.015881190076470375,0.028507893905043602
